case_id,package,dtype,identically_zero,location,name,shape
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,True,cell_or_native,equivalent_plastic_strain_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,hydrostatic_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,int32,False,metadata,mesh_elems,"[2126, 3]"
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,nodal,mesh_nodes,"[1124, 2]"
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,True,cell_or_native,plastic_rate_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,True,cell_or_native,pz_emit_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,True,cell_or_native,pz_escape_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,True,cell_or_native,pz_mobile_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,True,cell_or_native,pz_store_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,rho_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,sigma1_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,sigma_gp,"[3, 2126]"
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,sigma_max_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,sigma_min_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,sigma_xx_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,sigma_xy_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,sigma_yy_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,nodal,u_magnitude,[1124]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,nodal,u_x,[1124]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,nodal,u_y,[1124]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,von_mises_gp,[2126]
DBTT_V2_P40_300K_theta0,last_pre_first_event,float64,False,cell_or_native,von_mises_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,nodal,damage,[1124]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,metadata,displacement,[2248]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,elastic_energy_density_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,True,cell_or_native,ep_gp,"[3, 2126]"
DBTT_V2_P40_300K_theta0,milestone_250um,float64,True,cell_or_native,equivalent_plastic_strain_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,hydrostatic_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,int32,False,metadata,mesh_elems,"[2126, 3]"
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,nodal,mesh_nodes,"[1124, 2]"
DBTT_V2_P40_300K_theta0,milestone_250um,float64,True,cell_or_native,plastic_rate_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,True,cell_or_native,pz_emit_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,True,cell_or_native,pz_escape_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,True,cell_or_native,pz_mobile_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,True,cell_or_native,pz_store_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,rho_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,sigma1_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,sigma_gp,"[3, 2126]"
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,sigma_max_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,sigma_min_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,sigma_xx_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,sigma_xy_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,sigma_yy_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,nodal,u_magnitude,[1124]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,nodal,u_x,[1124]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,nodal,u_y,[1124]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,von_mises_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_250um,float64,False,cell_or_native,von_mises_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,nodal,damage,[1124]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,metadata,displacement,[2248]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,elastic_energy_density_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,True,cell_or_native,ep_gp,"[3, 2126]"
DBTT_V2_P40_300K_theta0,milestone_500um,float64,True,cell_or_native,equivalent_plastic_strain_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,hydrostatic_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,int32,False,metadata,mesh_elems,"[2126, 3]"
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,nodal,mesh_nodes,"[1124, 2]"
DBTT_V2_P40_300K_theta0,milestone_500um,float64,True,cell_or_native,plastic_rate_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,True,cell_or_native,pz_emit_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,True,cell_or_native,pz_escape_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,True,cell_or_native,pz_mobile_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,True,cell_or_native,pz_store_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,rho_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,sigma1_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,sigma_gp,"[3, 2126]"
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,sigma_max_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,sigma_min_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,sigma_xx_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,sigma_xy_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,sigma_yy_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,nodal,u_magnitude,[1124]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,nodal,u_x,[1124]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,nodal,u_y,[1124]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,von_mises_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_500um,float64,False,cell_or_native,von_mises_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,nodal,damage,[1123]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,displacement,[2246]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,elastic_energy_density_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,True,cell_or_native,ep_gp,"[3, 2124]"
DBTT_V2_P40_300K_theta0,milestone_750um,float64,True,cell_or_native,equivalent_plastic_strain_gp,[2124]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,hydrostatic_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,int32,False,metadata,mesh_elems,"[2124, 3]"
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,nodal,mesh_nodes,"[1123, 2]"
DBTT_V2_P40_300K_theta0,milestone_750um,float64,True,metadata,plastic_rate_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,True,metadata,pz_emit_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,True,metadata,pz_escape_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,True,metadata,pz_mobile_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,True,metadata,pz_store_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,cell_or_native,rho_gp,[2124]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,sigma1_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,sigma_gp,"[3, 2126]"
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,sigma_max_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,sigma_min_principal_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,sigma_xx_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,sigma_xy_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,sigma_yy_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,nodal,u_magnitude,[1123]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,nodal,u_x,[1123]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,nodal,u_y,[1123]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,von_mises_gp,[2126]
DBTT_V2_P40_300K_theta0,milestone_750um,float64,False,metadata,von_mises_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,terminal,float64,False,nodal,damage,[1124]
DBTT_V2_P40_300K_theta0,terminal,float64,False,metadata,displacement,[2248]
DBTT_V2_P40_300K_theta0,terminal,float64,False,cell_or_native,elastic_energy_density_gp,[2126]
DBTT_V2_P40_300K_theta0,terminal,float64,True,cell_or_native,ep_gp,"[3, 2126]"
DBTT_V2_P40_300K_theta0,terminal,float64,True,cell_or_native,equivalent_plastic_strain_gp,[2126]
DBTT_V2_P40_300K_theta0,terminal,float64,False,cell_or_native,hydrostatic_plane_gp,[2126]
DBTT_V2_P40_300K_theta0,terminal,int32,False,metadata,mesh_elems,"[2126, 3]"
DBTT_V2_P40_300K_theta0,terminal,float64,False,nodal,mesh_nodes,"[1124, 2]"
DBTT_V2_P40_300K_theta0,terminal,float64,True,cell_or_native,plastic_rate_gp,[2126]
DBTT_V2_P40_300K_theta0,terminal,float64,True,cell_or_native,pz_emit_gp,[2126]
DBTT_V2_P40_300K_theta0,terminal,float64,True,cell_or_native,pz_escape_gp,[2126]
DBTT_V2_P40_300K_theta0,terminal,float64,True,cell_or_native,pz_mobile_gp,[2126]
